categories	business_id
"Health & Medical, Dentists, Cosmetic Dentists, General Dentistry"	NzhRebtw2AIxXkVO_BrOOQ
"Periodontists, General Dentistry, Dentists, Orthodontists, Health & Medical"	aeLrAABNEuZgyY17-XNhvQ
"Endodontists, Health & Medical, Pediatric Dentists, Cosmetic Dentists, Orthodontists, General Dentistry, Dentists"	0CZJ35I4cjp7Fo6AoaRN-w
"Dentists, General Dentistry, Health & Medical, Cosmetic Dentists"	ZyKfASWZAMD10xw70C3vFg
"Pediatric Dentists, Oral Surgeons, Cosmetic Dentists, General Dentistry, Dentists, Health & Medical"	Z0CpNxR4c-ujjhoKfGx7MQ
"Endodontists, Health & Medical, General Dentistry, Pediatric Dentists, Cosmetic Dentists, Dentists"	9AN29iOOziAU89-tgFQdoQ
"Dentists, Health & Medical, General Dentistry"	9UQOswnKg6maprhgBtMUVg
"Dentists, General Dentistry, Health & Medical"	ITy0inRPpnKa_4ent9Y0oA
"Dentists, General Dentistry, Periodontists, Health & Medical"	WmY_00qgoiHDQydppWeJlQ
"Dentists, Periodontists, Cosmetic Dentists, Prosthodontists, Oral Surgeons, Health & Medical"	#NAME?
"General Dentistry, Cosmetic Dentists, Dentists, Orthodontists, Health & Medical"	hF5ZfGEtfwW8fLjUpM63RA
"Health & Medical, Dentists, Pediatric Dentists"	NLgb1LvdrqZ6PzFrEo_tbQ
"General Dentistry, Dentists, Cosmetic Dentists, Health & Medical, Pediatric Dentists"	3QFyMR9Iz3B3UUAWAUrgxw
"General Dentistry, Cosmetic Dentists, Health & Medical, Dentists, Periodontists"	1AU59e4NcMJm7piOCKv94w
"General Dentistry, Health & Medical, Dentists, Pediatric Dentists, Cosmetic Dentists"	s1GFFQbvbuJahhE785TPkw
"Dentists, Cosmetic Dentists, General Dentistry, Endodontists, Health & Medical"	rHKC8TjQP_u6k3uwEkdCsQ
"Orthodontists, Dentists, Health & Medical"	K7TyS54pW-OwDSzKwMXYog
"Cosmetic Dentists, Dentists, Endodontists, Health & Medical, Pediatric Dentists"	QT5wtbzSGbIHwmHXIwTJ6g
"General Dentistry, Health & Medical, Dentists, Orthodontists"	wWz987GMfX7u1ZV3ARQGiA
"General Dentistry, Dentists, Cosmetic Dentists, Health & Medical"	J8DxZ7enKZ0aAuF40e3rew
"Oral Surgeons, Dentists, Health & Medical"	51_NqBvITrWKVdb6_2IoFw
"Health & Medical, Dentists, General Dentistry, Cosmetic Dentists"	LQnSCqpfsb8hP9HanwRrsw
"General Dentistry, Health & Medical, Dentists"	L72WIRqdDFgNhJSfw7k_Ow
"Teeth Whitening, Health & Medical, Cosmetic Dentists, Dentists, Beauty & Spas"	x7DUkNHOZbvCsZh11UHa1g
"General Dentistry, Cosmetic Dentists, Health & Medical, Dentists, Orthodontists"	qepsXkZj-wiKkoa4ZxNPGA
"Dentists, Oral Surgeons, General Dentistry, Cosmetic Dentists, Health & Medical, Endodontists"	VbBUGAt4eEkIkTRqjCdMTA
"Dentists, General Dentistry, Health & Medical, Cosmetic Dentists"	2k77wpGpAn3DXcj5x-ej6A
"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists"	MRNktFjl623j9IZhxuEhSg
"General Dentistry, Cosmetic Dentists, Pediatric Dentists, Health & Medical, Dentists"	hCN5OfXCdt_q1CnPTzcmIA
"General Dentistry, Dentists, Health & Medical, Oral Surgeons, Orthodontists"	ZKpKyfGHMwzUglQR3XKRaw
"Health & Medical, Cosmetic Dentists, Dentists, General Dentistry, Pediatric Dentists, Periodontists"	DNbSVwBhpQYJ2iA0en4npw
"Oral Surgeons, Dentists, Health & Medical"	nGXQ-fFwCboUnsrsu9rdWw
"Cosmetic Dentists, Health & Medical, General Dentistry, Periodontists, Dentists, Orthodontists"	x4BW3Uby6NgL0TBYydakkQ
"Periodontists, Cosmetic Dentists, Endodontists, Orthodontists, General Dentistry, Dentists, Health & Medical"	ep3-l1UJJMkKHLLtrh1Uvg
"Orthodontists, Dentists, General Dentistry, Oral Surgeons, Health & Medical"	xg061CAAE0LN5PSirTW02w
"Dentists, Beauty & Spas, Cosmetic Dentists, Health & Medical, General Dentistry"	J6KcLFvTJwT7bWM5Xgz0Tg
"General Dentistry, Pediatric Dentists, Cosmetic Dentists, Orthodontists, Health & Medical, Cosmetic Surgeons, Dentists, Doctors"	9I_TkTHWJGHFEkjZPEyjKw
"General Dentistry, Dentists, Health & Medical"	6nGnVP7M4qQRiclXxeqXSQ
"Health & Medical, Dentists, General Dentistry"	Tc24GX9-ZPr4_SHU0nJZZA
"Cosmetic Dentists, General Dentistry, Health & Medical, Dentists, Endodontists"	sYvbHsddj504qdSFL2Fw9A
"Cosmetic Dentists, Dentists, Health & Medical, General Dentistry"	ESwXZMJioTpOXSOg5-AqBw
"General Dentistry, Health & Medical, Dentists, Endodontists, Orthodontists"	lURckwAGjPHT0bVXmUvtqA
"Beauty & Spas, Teeth Whitening, General Dentistry, Health & Medical, Orthodontists, Cosmetic Dentists, Dentists"	YkwFHdXtB-eStjlmngXbTQ
"Periodontists, Dentists, General Dentistry, Health & Medical, Cosmetic Dentists"	GPKrQ-qwqk4LsoLnj-p2Vw
"Cosmetic Dentists, Health & Medical, Dentists, General Dentistry, Endodontists"	wa0dVxr3Ef1qEXMP-vwH9A
"Pediatric Dentists, Health & Medical, Dentists"	VhKoVuX1Mc8rZl7oKy-hew
"Periodontists, Health & Medical, General Dentistry, Orthodontists, Dentists"	ngHhHG9ojyzayxZkI1mpLA
"Cosmetic Dentists, Orthodontists, Periodontists, Dentists, Health & Medical"	wsMQnxDkRvoRZZ9u-TTyqg
"Periodontists, General Dentistry, Health & Medical, Orthodontists, Dentists"	fBWgDel9UITZD0abXi-NXA
"Cosmetic Dentists, Dentists, Health & Medical, General Dentistry"	QXg8-xvdDP8AqeOBPbrXMA
"General Dentistry, Health & Medical, Dentists"	#NAME?
"Pediatric Dentists, General Dentistry, Dentists, Health & Medical, Orthodontists"	R5IdXL2033tY1FIm0jHwMA
"General Dentistry, Health & Medical, Dentists, Teeth Whitening, Cosmetic Dentists, Beauty & Spas"	23H-XvLzD-VEziJ0gMY4vw
"Dentists, Health & Medical, Oral Surgeons, General Dentistry, Cosmetic Dentists"	ZVkWetbRSo1doFq7D56ilA
"General Dentistry, Health & Medical, Cosmetic Dentists, Dentists"	RmY539rfXW8AUzF4T7vmww
"Health & Medical, Orthodontists, Cosmetic Dentists, Dentists, General Dentistry"	huTkwb90PQw4HqGkbhz74Q
"Auto Repair, Auto Detailing, Automotive, Mobile Dent Repair, Body Shops"	eHeIEqbGF8xvbZwjPm1zng
"Dentists, General Dentistry, Periodontists, Health & Medical, Cosmetic Dentists"	HSdp8KxmI3GsJWL_e2HwKA
"Dentists, Endodontists, Health & Medical"	FbXju6ZKZHIBQeba8ONa-A
"Dentists, Cosmetic Dentists, Health & Medical, Endodontists, Pediatric Dentists, General Dentistry"	G9QmB3gWMXZ2jiNbhjwyCw
"Dentists, Health & Medical, General Dentistry"	sJa6bIQ_lRxWfBgoYULBRQ
"Endodontists, Health & Medical, Dentists, General Dentistry, Cosmetic Dentists"	ZQti_pzgXm57VRIcPaU3ZQ
"Orthodontists, Dentists, Health & Medical"	upuKx0fYzbDJa6O-Ncp_yg
"General Dentistry, Dentists, Health & Medical"	fSl7Bj7n6PB9BIQ-XJstZA
"Health & Medical, General Dentistry, Dentists"	#NAME?
"Dentists, Health & Medical"	Dz8YAJ4aAL1iB7RCd1TU6Q
"Endodontists, Dentists, Health & Medical, General Dentistry"	oSwYtexHSwXF-CJWsB6oHA
"Dentists, Health & Medical, General Dentistry"	aIdBu4YqH41cSVbcEw5tew
"Dentists, Cosmetic Dentists, General Dentistry, Health & Medical"	dUEMTG3vmo0AgzCMT0DxWA
"Cosmetic Dentists, General Dentistry, Dentists, Health & Medical, Periodontists"	I6QrXNBINXKNKJpaQupIPQ
"Health & Medical, General Dentistry, Dentists, Orthodontists, Cosmetic Dentists"	jxNYTof2rSlqjxeWQMaGKw
"Health & Medical, Dentists, Orthodontists"	KRMBk3giXPKbt0YM4itGDg
"General Dentistry, Periodontists, Health & Medical, Dentists, Cosmetic Dentists"	oCk7yGetz91PWVst9ZAvwQ
"Orthodontists, Dentists, Pediatric Dentists, Health & Medical"	DUC4IaoxAVfnQrCTTh7fSw
"Health & Medical, Dentists"	KSw88BmxV4p9XHOu0HgnAg
"Health & Medical, Dentists, Pediatric Dentists"	TImudqnbWBAQpyKimpZcMA
"General Dentistry, Orthodontists, Dentists, Endodontists, Teeth Whitening, Health & Medical, Oral Surgeons, Beauty & Spas"	4uQdADj46OCiHxBl1HjEHw
"General Dentistry, Dentists, Health & Medical"	pC4MjGg8bV-eIUHRbe9WGQ
"General Dentistry, Dentists, Health & Medical"	fEwQPh71AxcHjnyKMznOFA
"Orthodontists, Dentists, Health & Medical"	ssbvut8dheDwi_ydpn1KNA
"General Dentistry, Endodontists, Cosmetic Dentists, Pediatric Dentists, Health & Medical, Dentists"	ZMHLXxYJl3zT8aWoBJgd2w
"Orthodontists, Dentists, Oral Surgeons, Health & Medical, General Dentistry"	DKisQLcNq7U5GV-Zo74yvA
"General Dentistry, Health & Medical, Dentists"	FFDVQsANWK0uOvUszVIu3Q
"Orthodontists, Pediatric Dentists, Health & Medical, Dentists"	PoMAlVNsiy2j3Hx8Jg-cWw
"Oral Surgeons, Orthodontists, Health & Medical, General Dentistry, Medical Centers, Dentists, Cosmetic Dentists"	JOLYEaRIbI4KKdbh1poCyQ
"Dentists, Health & Medical, Endodontists, General Dentistry, Cosmetic Dentists"	P9gT0PMDa6eNamPIwBdqbA
"Health & Medical, Doctors, Dentists, Cosmetic Dentists, General Dentistry"	_x5SoaqBTn3fYtEhkAvZ8g
"General Dentistry, Dentists, Health & Medical"	OguCd_XHlwh5gcs8XBLg7A
"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists"	LJOyeUuutxWbpuNGURbMtA
"Cosmetic Dentists, Orthodontists, Dentists, Health & Medical, General Dentistry"	Qh-osCxC4Vduo7QFXhuyfg
"Dental Hygienists, Periodontists, Pediatric Dentists, Dentists, Health & Medical, Cosmetic Dentists, General Dentistry, Endodontists"	X1yF0T4UqgCpnZ7T0FmuRA
"Cosmetic Dentists, Periodontists, Teeth Whitening, Dentists, Health & Medical, Endodontists, Beauty & Spas, General Dentistry"	xatboulDuJGBK_255189hA
"Dentists, Cosmetic Dentists, Health & Medical, Endodontists, General Dentistry"	4mLeteMtS5HwXTgsxLGL5Q
"Dentists, Health & Medical, General Dentistry"	PKPbRP_omcWmUE8vkFlKtQ
