business_id,categories
NzhRebtw2AIxXkVO_BrOOQ,"health & medical, dentists, cosmetic dentists, general dentistry"
aeLrAABNEuZgyY17-XNhvQ,"periodontists, general dentistry, dentists, orthodontists, health & medical"
0CZJ35I4cjp7Fo6AoaRN-w,"endodontists, health & medical, pediatric dentists, cosmetic dentists, orthodontists, general dentistry, dentists"
ZyKfASWZAMD10xw70C3vFg,"dentists, general dentistry, health & medical, cosmetic dentists"
Z0CpNxR4c-ujjhoKfGx7MQ,"pediatric dentists, oral surgeons, cosmetic dentists, general dentistry, dentists, health & medical"
9AN29iOOziAU89-tgFQdoQ,"endodontists, health & medical, general dentistry, pediatric dentists, cosmetic dentists, dentists"
9UQOswnKg6maprhgBtMUVg,"dentists, health & medical, general dentistry"
ITy0inRPpnKa_4ent9Y0oA,"dentists, general dentistry, health & medical"
WmY_00qgoiHDQydppWeJlQ,"dentists, general dentistry, periodontists, health & medical"
-wDN2DmxxhENoX-jM9i1Ig,"dentists, periodontists, cosmetic dentists, prosthodontists, oral surgeons, health & medical"
hF5ZfGEtfwW8fLjUpM63RA,"general dentistry, cosmetic dentists, dentists, orthodontists, health & medical"
NLgb1LvdrqZ6PzFrEo_tbQ,"health & medical, dentists, pediatric dentists"
3QFyMR9Iz3B3UUAWAUrgxw,"general dentistry, dentists, cosmetic dentists, health & medical, pediatric dentists"
1AU59e4NcMJm7piOCKv94w,"general dentistry, cosmetic dentists, health & medical, dentists, periodontists"
s1GFFQbvbuJahhE785TPkw,"general dentistry, health & medical, dentists, pediatric dentists, cosmetic dentists"
rHKC8TjQP_u6k3uwEkdCsQ,"dentists, cosmetic dentists, general dentistry, endodontists, health & medical"
K7TyS54pW-OwDSzKwMXYog,"orthodontists, dentists, health & medical"
QT5wtbzSGbIHwmHXIwTJ6g,"cosmetic dentists, dentists, endodontists, health & medical, pediatric dentists"
wWz987GMfX7u1ZV3ARQGiA,"general dentistry, health & medical, dentists, orthodontists"
J8DxZ7enKZ0aAuF40e3rew,"general dentistry, dentists, cosmetic dentists, health & medical"
51_NqBvITrWKVdb6_2IoFw,"oral surgeons, dentists, health & medical"
LQnSCqpfsb8hP9HanwRrsw,"health & medical, dentists, general dentistry, cosmetic dentists"
L72WIRqdDFgNhJSfw7k_Ow,"general dentistry, health & medical, dentists"
x7DUkNHOZbvCsZh11UHa1g,"teeth whitening, health & medical, cosmetic dentists, dentists, beauty & spas"
qepsXkZj-wiKkoa4ZxNPGA,"general dentistry, cosmetic dentists, health & medical, dentists, orthodontists"
VbBUGAt4eEkIkTRqjCdMTA,"dentists, oral surgeons, general dentistry, cosmetic dentists, health & medical, endodontists"
2k77wpGpAn3DXcj5x-ej6A,"dentists, general dentistry, health & medical, cosmetic dentists"
MRNktFjl623j9IZhxuEhSg,"cosmetic dentists, health & medical, general dentistry, dentists"
hCN5OfXCdt_q1CnPTzcmIA,"general dentistry, cosmetic dentists, pediatric dentists, health & medical, dentists"
ZKpKyfGHMwzUglQR3XKRaw,"general dentistry, dentists, health & medical, oral surgeons, orthodontists"
DNbSVwBhpQYJ2iA0en4npw,"health & medical, cosmetic dentists, dentists, general dentistry, pediatric dentists, periodontists"
nGXQ-fFwCboUnsrsu9rdWw,"oral surgeons, dentists, health & medical"
x4BW3Uby6NgL0TBYydakkQ,"cosmetic dentists, health & medical, general dentistry, periodontists, dentists, orthodontists"
ep3-l1UJJMkKHLLtrh1Uvg,"periodontists, cosmetic dentists, endodontists, orthodontists, general dentistry, dentists, health & medical"
xg061CAAE0LN5PSirTW02w,"orthodontists, dentists, general dentistry, oral surgeons, health & medical"
J6KcLFvTJwT7bWM5Xgz0Tg,"dentists, beauty & spas, cosmetic dentists, health & medical, general dentistry"
9I_TkTHWJGHFEkjZPEyjKw,"general dentistry, pediatric dentists, cosmetic dentists, orthodontists, health & medical, cosmetic surgeons, dentists, doctors"
6nGnVP7M4qQRiclXxeqXSQ,"general dentistry, dentists, health & medical"
Tc24GX9-ZPr4_SHU0nJZZA,"health & medical, dentists, general dentistry"
sYvbHsddj504qdSFL2Fw9A,"cosmetic dentists, general dentistry, health & medical, dentists, endodontists"
ESwXZMJioTpOXSOg5-AqBw,"cosmetic dentists, dentists, health & medical, general dentistry"
lURckwAGjPHT0bVXmUvtqA,"general dentistry, health & medical, dentists, endodontists, orthodontists"
YkwFHdXtB-eStjlmngXbTQ,"beauty & spas, teeth whitening, general dentistry, health & medical, orthodontists, cosmetic dentists, dentists"
GPKrQ-qwqk4LsoLnj-p2Vw,"periodontists, dentists, general dentistry, health & medical, cosmetic dentists"
wa0dVxr3Ef1qEXMP-vwH9A,"cosmetic dentists, health & medical, dentists, general dentistry, endodontists"
VhKoVuX1Mc8rZl7oKy-hew,"pediatric dentists, health & medical, dentists"
ngHhHG9ojyzayxZkI1mpLA,"periodontists, health & medical, general dentistry, orthodontists, dentists"
wsMQnxDkRvoRZZ9u-TTyqg,"cosmetic dentists, orthodontists, periodontists, dentists, health & medical"
fBWgDel9UITZD0abXi-NXA,"periodontists, general dentistry, health & medical, orthodontists, dentists"
QXg8-xvdDP8AqeOBPbrXMA,"cosmetic dentists, dentists, health & medical, general dentistry"
-Fi1xgPZtumxOkhirCBNiw,"general dentistry, health & medical, dentists"
R5IdXL2033tY1FIm0jHwMA,"pediatric dentists, general dentistry, dentists, health & medical, orthodontists"
23H-XvLzD-VEziJ0gMY4vw,"general dentistry, health & medical, dentists, teeth whitening, cosmetic dentists, beauty & spas"
ZVkWetbRSo1doFq7D56ilA,"dentists, health & medical, oral surgeons, general dentistry, cosmetic dentists"
RmY539rfXW8AUzF4T7vmww,"general dentistry, health & medical, cosmetic dentists, dentists"
huTkwb90PQw4HqGkbhz74Q,"health & medical, orthodontists, cosmetic dentists, dentists, general dentistry"
eHeIEqbGF8xvbZwjPm1zng,"auto repair, auto detailing, automotive, mobile dent repair, body shops"
HSdp8KxmI3GsJWL_e2HwKA,"dentists, general dentistry, periodontists, health & medical, cosmetic dentists"
FbXju6ZKZHIBQeba8ONa-A,"dentists, endodontists, health & medical"
G9QmB3gWMXZ2jiNbhjwyCw,"dentists, cosmetic dentists, health & medical, endodontists, pediatric dentists, general dentistry"
sJa6bIQ_lRxWfBgoYULBRQ,"dentists, health & medical, general dentistry"
ZQti_pzgXm57VRIcPaU3ZQ,"endodontists, health & medical, dentists, general dentistry, cosmetic dentists"
upuKx0fYzbDJa6O-Ncp_yg,"orthodontists, dentists, health & medical"
fSl7Bj7n6PB9BIQ-XJstZA,"general dentistry, dentists, health & medical"
-Yz15Wxp9bO21hifJaamsA,"health & medical, general dentistry, dentists"
Dz8YAJ4aAL1iB7RCd1TU6Q,"dentists, health & medical"
oSwYtexHSwXF-CJWsB6oHA,"endodontists, dentists, health & medical, general dentistry"
aIdBu4YqH41cSVbcEw5tew,"dentists, health & medical, general dentistry"
dUEMTG3vmo0AgzCMT0DxWA,"dentists, cosmetic dentists, general dentistry, health & medical"
I6QrXNBINXKNKJpaQupIPQ,"cosmetic dentists, general dentistry, dentists, health & medical, periodontists"
jxNYTof2rSlqjxeWQMaGKw,"health & medical, general dentistry, dentists, orthodontists, cosmetic dentists"
KRMBk3giXPKbt0YM4itGDg,"health & medical, dentists, orthodontists"
oCk7yGetz91PWVst9ZAvwQ,"general dentistry, periodontists, health & medical, dentists, cosmetic dentists"
DUC4IaoxAVfnQrCTTh7fSw,"orthodontists, dentists, pediatric dentists, health & medical"
KSw88BmxV4p9XHOu0HgnAg,"health & medical, dentists"
TImudqnbWBAQpyKimpZcMA,"health & medical, dentists, pediatric dentists"
4uQdADj46OCiHxBl1HjEHw,"general dentistry, orthodontists, dentists, endodontists, teeth whitening, health & medical, oral surgeons, beauty & spas"
pC4MjGg8bV-eIUHRbe9WGQ,"general dentistry, dentists, health & medical"
