business_id,categories
NzhRebtw2AIxXkVO_BrOOQ,"Health & Medical, Dentists, Cosmetic Dentists, General Dentistry"
aeLrAABNEuZgyY17-XNhvQ,"Periodontists, General Dentistry, Dentists, Orthodontists, Health & Medical"
0CZJ35I4cjp7Fo6AoaRN-w,"Endodontists, Health & Medical, Pediatric Dentists, Cosmetic Dentists, Orthodontists, General Dentistry, Dentists"
ZyKfASWZAMD10xw70C3vFg,"Dentists, General Dentistry, Health & Medical, Cosmetic Dentists"
Z0CpNxR4c-ujjhoKfGx7MQ,"Pediatric Dentists, Oral Surgeons, Cosmetic Dentists, General Dentistry, Dentists, Health & Medical"
9AN29iOOziAU89-tgFQdoQ,"Endodontists, Health & Medical, General Dentistry, Pediatric Dentists, Cosmetic Dentists, Dentists"
9UQOswnKg6maprhgBtMUVg,"Dentists, Health & Medical, General Dentistry"
ITy0inRPpnKa_4ent9Y0oA,"Dentists, General Dentistry, Health & Medical"
WmY_00qgoiHDQydppWeJlQ,"Dentists, General Dentistry, Periodontists, Health & Medical"
-wDN2DmxxhENoX-jM9i1Ig,"Dentists, Periodontists, Cosmetic Dentists, Prosthodontists, Oral Surgeons, Health & Medical"
hF5ZfGEtfwW8fLjUpM63RA,"General Dentistry, Cosmetic Dentists, Dentists, Orthodontists, Health & Medical"
NLgb1LvdrqZ6PzFrEo_tbQ,"Health & Medical, Dentists, Pediatric Dentists"
3QFyMR9Iz3B3UUAWAUrgxw,"General Dentistry, Dentists, Cosmetic Dentists, Health & Medical, Pediatric Dentists"
1AU59e4NcMJm7piOCKv94w,"General Dentistry, Cosmetic Dentists, Health & Medical, Dentists, Periodontists"
s1GFFQbvbuJahhE785TPkw,"General Dentistry, Health & Medical, Dentists, Pediatric Dentists, Cosmetic Dentists"
rHKC8TjQP_u6k3uwEkdCsQ,"Dentists, Cosmetic Dentists, General Dentistry, Endodontists, Health & Medical"
K7TyS54pW-OwDSzKwMXYog,"Orthodontists, Dentists, Health & Medical"
QT5wtbzSGbIHwmHXIwTJ6g,"Cosmetic Dentists, Dentists, Endodontists, Health & Medical, Pediatric Dentists"
wWz987GMfX7u1ZV3ARQGiA,"General Dentistry, Health & Medical, Dentists, Orthodontists"
J8DxZ7enKZ0aAuF40e3rew,"General Dentistry, Dentists, Cosmetic Dentists, Health & Medical"
51_NqBvITrWKVdb6_2IoFw,"Oral Surgeons, Dentists, Health & Medical"
LQnSCqpfsb8hP9HanwRrsw,"Health & Medical, Dentists, General Dentistry, Cosmetic Dentists"
L72WIRqdDFgNhJSfw7k_Ow,"General Dentistry, Health & Medical, Dentists"
x7DUkNHOZbvCsZh11UHa1g,"Teeth Whitening, Health & Medical, Cosmetic Dentists, Dentists, Beauty & Spas"
qepsXkZj-wiKkoa4ZxNPGA,"General Dentistry, Cosmetic Dentists, Health & Medical, Dentists, Orthodontists"
VbBUGAt4eEkIkTRqjCdMTA,"Dentists, Oral Surgeons, General Dentistry, Cosmetic Dentists, Health & Medical, Endodontists"
2k77wpGpAn3DXcj5x-ej6A,"Dentists, General Dentistry, Health & Medical, Cosmetic Dentists"
MRNktFjl623j9IZhxuEhSg,"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists"
hCN5OfXCdt_q1CnPTzcmIA,"General Dentistry, Cosmetic Dentists, Pediatric Dentists, Health & Medical, Dentists"
ZKpKyfGHMwzUglQR3XKRaw,"General Dentistry, Dentists, Health & Medical, Oral Surgeons, Orthodontists"
DNbSVwBhpQYJ2iA0en4npw,"Health & Medical, Cosmetic Dentists, Dentists, General Dentistry, Pediatric Dentists, Periodontists"
nGXQ-fFwCboUnsrsu9rdWw,"Oral Surgeons, Dentists, Health & Medical"
x4BW3Uby6NgL0TBYydakkQ,"Cosmetic Dentists, Health & Medical, General Dentistry, Periodontists, Dentists, Orthodontists"
ep3-l1UJJMkKHLLtrh1Uvg,"Periodontists, Cosmetic Dentists, Endodontists, Orthodontists, General Dentistry, Dentists, Health & Medical"
xg061CAAE0LN5PSirTW02w,"Orthodontists, Dentists, General Dentistry, Oral Surgeons, Health & Medical"
J6KcLFvTJwT7bWM5Xgz0Tg,"Dentists, Beauty & Spas, Cosmetic Dentists, Health & Medical, General Dentistry"
9I_TkTHWJGHFEkjZPEyjKw,"General Dentistry, Pediatric Dentists, Cosmetic Dentists, Orthodontists, Health & Medical, Cosmetic Surgeons, Dentists, Doctors"
6nGnVP7M4qQRiclXxeqXSQ,"General Dentistry, Dentists, Health & Medical"
Tc24GX9-ZPr4_SHU0nJZZA,"Health & Medical, Dentists, General Dentistry"
sYvbHsddj504qdSFL2Fw9A,"Cosmetic Dentists, General Dentistry, Health & Medical, Dentists, Endodontists"
ESwXZMJioTpOXSOg5-AqBw,"Cosmetic Dentists, Dentists, Health & Medical, General Dentistry"
lURckwAGjPHT0bVXmUvtqA,"General Dentistry, Health & Medical, Dentists, Endodontists, Orthodontists"
YkwFHdXtB-eStjlmngXbTQ,"Beauty & Spas, Teeth Whitening, General Dentistry, Health & Medical, Orthodontists, Cosmetic Dentists, Dentists"
GPKrQ-qwqk4LsoLnj-p2Vw,"Periodontists, Dentists, General Dentistry, Health & Medical, Cosmetic Dentists"
wa0dVxr3Ef1qEXMP-vwH9A,"Cosmetic Dentists, Health & Medical, Dentists, General Dentistry, Endodontists"
VhKoVuX1Mc8rZl7oKy-hew,"Pediatric Dentists, Health & Medical, Dentists"
ngHhHG9ojyzayxZkI1mpLA,"Periodontists, Health & Medical, General Dentistry, Orthodontists, Dentists"
wsMQnxDkRvoRZZ9u-TTyqg,"Cosmetic Dentists, Orthodontists, Periodontists, Dentists, Health & Medical"
fBWgDel9UITZD0abXi-NXA,"Periodontists, General Dentistry, Health & Medical, Orthodontists, Dentists"
QXg8-xvdDP8AqeOBPbrXMA,"Cosmetic Dentists, Dentists, Health & Medical, General Dentistry"
-Fi1xgPZtumxOkhirCBNiw,"General Dentistry, Health & Medical, Dentists"
R5IdXL2033tY1FIm0jHwMA,"Pediatric Dentists, General Dentistry, Dentists, Health & Medical, Orthodontists"
23H-XvLzD-VEziJ0gMY4vw,"General Dentistry, Health & Medical, Dentists, Teeth Whitening, Cosmetic Dentists, Beauty & Spas"
ZVkWetbRSo1doFq7D56ilA,"Dentists, Health & Medical, Oral Surgeons, General Dentistry, Cosmetic Dentists"
RmY539rfXW8AUzF4T7vmww,"General Dentistry, Health & Medical, Cosmetic Dentists, Dentists"
huTkwb90PQw4HqGkbhz74Q,"Health & Medical, Orthodontists, Cosmetic Dentists, Dentists, General Dentistry"
eHeIEqbGF8xvbZwjPm1zng,"Auto Repair, Auto Detailing, Automotive, Mobile Dent Repair, Body Shops"
HSdp8KxmI3GsJWL_e2HwKA,"Dentists, General Dentistry, Periodontists, Health & Medical, Cosmetic Dentists"
FbXju6ZKZHIBQeba8ONa-A,"Dentists, Endodontists, Health & Medical"
G9QmB3gWMXZ2jiNbhjwyCw,"Dentists, Cosmetic Dentists, Health & Medical, Endodontists, Pediatric Dentists, General Dentistry"
sJa6bIQ_lRxWfBgoYULBRQ,"Dentists, Health & Medical, General Dentistry"
ZQti_pzgXm57VRIcPaU3ZQ,"Endodontists, Health & Medical, Dentists, General Dentistry, Cosmetic Dentists"
upuKx0fYzbDJa6O-Ncp_yg,"Orthodontists, Dentists, Health & Medical"
fSl7Bj7n6PB9BIQ-XJstZA,"General Dentistry, Dentists, Health & Medical"
-Yz15Wxp9bO21hifJaamsA,"Health & Medical, General Dentistry, Dentists"
Dz8YAJ4aAL1iB7RCd1TU6Q,"Dentists, Health & Medical"
oSwYtexHSwXF-CJWsB6oHA,"Endodontists, Dentists, Health & Medical, General Dentistry"
aIdBu4YqH41cSVbcEw5tew,"Dentists, Health & Medical, General Dentistry"
