restaurantId,foodname,price,food type
411243,Stewed Peach & Vinegar Mutton,29.51,American
717866,Stewed Olive Pheasant,28.63,Chinese
311287,Dry-Roasted Confit of Lobster,28.84,Indian&Mexican
179347,Fire-Grilled Truffles & Trout,25.96,Vitenamese
621147,Broasted Cucumber & Potato Wedges,13.64,American Chinese
300396,Cured Cucumber & Calzone,21.26,Korean
678333,Mandarin and Date Tarte Tatin,22.44,Japanese
337007,Hazelnut and Mango Pie,23.04,Mexican
667063,Cranberry Pancakes,17.84,American
957825,Rum Fudge,23.59,Chinese
878802,Deep-Fried Watercress Chicken,23.33,Indian&Mexican
884710,Braised Cheese & Mutton,24.43,Vitenamese
177685,Deep-Fried Easter-Style Prawns,11.41,American Chinese
464712,Shallow-Fried Sweet & Savory Crab,13.62,Korean
575868,Basted Tomatoes & Vegetables,12.15,Japanese
103559,Tenderized Sugar Vegetable Mix,16.61,Mexican
328917,Coconut and Pistachio Cone,15.97,American
193013,White Wine and Guava Genoise,20.84,Chinese
697615,Plum Pie,10.12,Indian&Mexican
635814,Coffee Gingerbread,15.72,Vitenamese
455631,Simmered Pasta & Rabbit,10.38,American Chinese
807307,Blanched Carrot & Coriander Quail,28.51,Korean
362858,Breaded Figs & Olive Clams,17.30,Japanese
175142,Stewed Olives & Mustard Prawns,19.60,Mexican
802375,Dry-Roasted Pasta & Walnuts,25.29,American
501755,Poached Casserole of Pie,13.73,Chinese
321384,White Wine and Kiwi Gingerbread,21.25,Indian&Mexican
752153,Raspberry and Cashew Surprise,25.34,Vitenamese
473763,Blueberry Pud,13.64,American Chinese
687487,Cherry Crispies,29.18,Korean
459053,Braised Sweet & Savory Bear,24.80,Japanese
972211,Braised Garlic Bear,15.65,Mexican
631644,Infused Vinegar Cockles,15.21,American
417992,Tenderized Oregano Fish,29.43,Chinese
999596,Dried Lime Spring Vegetables,13.84,Indian&Mexican
446245,Oven-Baked Carrots & Ginger Tofu,25.47,Vitenamese
681845,Walnut and Orange Mooncake,21.12,American Chinese
629924,Plum and Honey Strudel,18.05,Korean
599565,Coffee Cookies,12.85,Japanese
418031,Licorice Cheesecake,13.78,Mexican
231530,Slow-Cooked Garlic & Tomato Mammoth,17.87,American
439521,Broasted Parsnip & Pear Pheasant,12.82,Chinese
864862,Roasted Basil & Cinnamon Scallops,17.18,Indian&Mexican
426729,Marinated Mint & Berry Crocodile,20.92,Vitenamese
345715,Poached Lime & Ginger Linguine,24.49,American Chinese
467010,Tenderized Nuts & Linguine,22.32,Korean
490715,Caramel and Guava Trifle,13.81,Japanese
938489,Blueberry and White Chocolate Tart,20.17,Mexican
321168,Chestnut Toast,19.17,American
290156,Pecan Cake,27.81,Chinese
204493,Engine-Cooked Easter-Style Pheasant,28.01,Indian&Mexican
771825,Infused Vegetables & Duck,25.85,Vitenamese
605422,Tenderized Salty & Sour Alligator,16.62,American Chinese
911761,Stuffed Soy Mussels,10.69,Korean
602594,Simmered Cinnamon & Thyme Vegetables,18.99,Japanese
954595,Shallow-Fried Hot & Sweet Bake,18.79,Mexican
976390,Guava and Cranberry Gingerbread,25.32,American
413245,Rum and Cherry Bonbons,18.76,Chinese
778246,Lemon Bonbons,27.07,Indian&Mexican
801426,Pistachio Jam,26.42,Vitenamese
172423,Blanched White Wine Beef,15.33,American Chinese
434043,Fire-Roasted Blueberry Beef,24.94,Korean
449827,Sautéed Egg & Coconut Clams,12.04,Japanese
484026,Dried Dark Beer Lobster,27.63,Mexican
910709,Basted Fennel & Lime Bisque,16.44,American
489650,Pan-Fried Jasmine Stuffed Bread,11.81,Chinese
790855,Milk Chocolate and Melon Pancakes,17.69,Indian&Mexican
593976,Papaya and Pistachio Pound Cake,15.02,Vitenamese
390214,White Chocolate Pud,10.03,American Chinese
175084,Honey Toast,28.83,Korean
178013,Pan-Fried Saffron Mammoth,17.37,Japanese
225909,Marinated Basil & Clove Duck,22.84,Mexican
497127,Broasted Vinegar Mussels,22.23,American
470380,Tea-Smoked Lime & Ginger Salmon,24.32,Chinese
242491,Sautéed Vanilla & Mint Salad,10.05,Indian&Mexican
830128,Slow-Cooked Apricot & Basil Vegetable Mix,18.30,Vitenamese
764210,Avocado and Red Wine Jelly,24.41,American Chinese
318199,Caramel and Passion Fruit Steamed Pudding,11.07,Korean
954749,Kiwi Strudel,14.95,Japanese
140623,Peach Fruit Salad,18.76,Mexican
367094,Cooked Soy Venison,29.63,American
