restaurantid,restaurantName,phonenumber,address,distance,restauranttype
411243,1919,(795) 605-6859,"1919 FLEET ST Baltimore, MD",3.14,Fast Food
717866,SAUTE,(629) 828-3610,"2844 HUDSON ST Baltimore, MD",0.49,Family Style
311287,#1 CHINESE KITCHEN,(597) 940-1831,"3998 ROLAND AVE Baltimore, MD",3.38,Family Style
179347,#1 chinese restaurant,(215) 215-0960,"2481 frederick ave Baltimore, MD",1.61,Fine Dining
621147,19TH HOLE,(325) 992-0373,"2722 HARFORD RD Baltimore, MD",2.68,Fast Food
300396,3 KINGS,(725) 731-1516,"2510 MCELDERRY ST Baltimore, MD",3.48,Family Style
678333,"3 MILES HOUSE, INC.",(601) 377-0888,"2701 MILES AVE Baltimore, MD",2.97,Fine Dining
337007,3 W'S TAVERN,(382) 837-6466,"2518 MONUMENT ST Baltimore, MD",3.48,Fast Casual
667063,300 SOUTH ANN STREET,(724) 212-0225,"300 ANN ST Baltimore, MD",0.58,Fine Dining
957825,438 CLUB,(890) 481-6908,"1600 HAZEL ST Baltimore, MD",2.15,Fast Casual
878802,5-MILE HOUSE,(286) 842-1069,"5302 REISTERSTOWN RD Baltimore, MD",0.36,Fast Casual
884710,"743 S. MONTFORD,INC.",(459) 909-8076,"743 MONTFORD ST Baltimore, MD",3.58,Fine Dining
177685,A & W RESTAURANT,(676) 583-5917,"5625 O DONNELL ST Baltimore, MD",2.87,Fast Casual
464712,A TASTE OF CHINA,(847) 498-6423,"219 BALTIMORE ST Baltimore, MD",2.39,Fast Food
575868,ABACROMBIE FINE FOODS,(702) 506-6930,"58 BIDDLE STREET Baltimore, MD",1.76,Fast Casual
103559,ABC SUSHI,(891) 474-0635,"2003 MONUMENT ST Baltimore, MD",3.84,Fine Dining
328917,ACROPOLIS RESTAURANT,(929) 610-2067,"4718 EASTERN AVE Baltimore, MD",3.97,Fast Food
193013,ADMIRAL FELL INN,(524) 909-1094,"818 BROADWAY Baltimore, MD",0.9,Fast Food
697615,AG & HARP'S,(857) 331-1121,"2522 WASHINGTON BLVD Baltimore, MD",0.72,Family Style
635814,"AIRPORT BAR & GRILL, INC.",(679) 693-1905,"6500 RIVERVIEW AVE Baltimore, MD",2.47,Family Style
455631,AKBAR RESTAURANT,(563) 763-9498,"823 CHARLES ST Baltimore, MD",3.45,Cafe or Bistro
807307,"AKDEY SUBWAY, INC.",(386) 565-2586,"2407 FREDERICK AVE Baltimore, MD",1.25,Fine Dining
362858,ALDO'S RESTAURANT,(308) 996-3510,"306 HIGH ST Baltimore, MD",0.14,Fast Food
175142,ALE MARY'S,(711) 295-3190,"1939 FLEET ST Baltimore, MD",1.47,Fine Dining
802375,ALEXANDER'S TAVERN,(515) 527-1037,"710 BROADWAY Baltimore, MD",2.6,Family Style
501755,ALFEO'S,(908) 928-4119,"2401 LIBERTY HEIGHTS AVE Baltimore, MD",3.1,Cafe or Bistro
