business_id,cool,date,funny,review_id,stars,useful,user_id
iCQpiavjjPzJ5_3gPD5Ebg,0,2/25/2011,0,x7mDIiDB3jEiPGPHOmDzyw,2,0,msQe1u7Z_XuqjGoqhB0J5g
pomGBqfbxcqPv14c3XH-ZQ,0,11/13/2012,0,dDl8zu1vWPdKGihJrwQbpw,5,0,msQe1u7Z_XuqjGoqhB0J5g
jtQARsP6P-LbkyjbO1qNGg,1,10/23/2014,1,LZp4UX5zK3e-c5ZGSeo3kA,1,3,msQe1u7Z_XuqjGoqhB0J5g
elqbBhBfElMNSrjFqW3now,0,2/25/2011,0,Er4NBWCmCD4nM8_p1GRdow,2,2,msQe1u7Z_XuqjGoqhB0J5g
Ums3gaP2qM3W1XcA5r6SsQ,0,9/5/2014,0,jsDu6QEJHbwP2Blom1PLCA,5,0,msQe1u7Z_XuqjGoqhB0J5g
vgfcTvK81oD4r50NMjU2Ag,0,2/25/2011,0,pfavA0hr3nyqO61oupj-lA,1,2,msQe1u7Z_XuqjGoqhB0J5g
AxeQEz3-s9_1TyIo-G7UQw,0,10/10/2011,0,brokEno2n7s4vrwmmUdr9w,5,1,msQe1u7Z_XuqjGoqhB0J5g
zdE82PiD6wquvjYLyhOJNA,0,4/18/2012,1,kUZWBVZvhWuC8TWUg5AYyA,5,0,msQe1u7Z_XuqjGoqhB0J5g
EAwh1OmG6t6p3nRaZOW_AA,0,2/25/2011,0,wcqt0III88LEcm19IxFFyA,4,0,msQe1u7Z_XuqjGoqhB0J5g
atVh8viqTj-sqDJ35tAYVg,1,11/9/2012,2,LWUtqzNthMM3vpWZIFBlPw,2,1,msQe1u7Z_XuqjGoqhB0J5g
yFumR3CWzpfvTH2FCthvVw,0,6/15/2016,0,STiFMww2z31siPY7BWNC2g,5,0,TlvV-xJhmh7LCwJYXkV-cg
UBv8heCQR0RPnUQG0zkXIQ,0,9/23/2016,0,HkYqGb0Gplmmk-xlHTRBoA,1,0,NhOc64RsrTT1Dls50yYW8g
hdgYnadxg0GANhWOJabr2g,0,8/23/2014,0,RgqWdZA4xR023iP3T6jVfA,5,0,NhOc64RsrTT1Dls50yYW8g
yEOu75XjwczngvWWlr0M_A,0,2/17/2016,0,#NAME?,4,1,LKcdcMrq2xDzIThSHiZmLg
f5O7v_X_jCg2itqacRfxhg,0,10/12/2017,0,kS4hrhEScwB9V5JATYjvVQ,5,0,hxqo4NyJFfeOmuoVi--s1A
XqNDr54eLDLRfZwo4l4dVA,0,9/22/2015,0,5um5SX-Lbgik5dwUGe2jFw,4,0,eG6HneK9zLcuZpVuKcsCGQ
0bjFYstj8USMzEV4ZQldjA,0,1/19/2017,0,VKGvSe0SmYcFc5PqjbxLDQ,5,0,eG6HneK9zLcuZpVuKcsCGQ
q0n4I-zqiI47xispOqc1lA,0,9/19/2016,0,M9gD64U797dfIpLA9OHYVA,5,0,eG6HneK9zLcuZpVuKcsCGQ
alG1fb1kl2vmT8s34jbbHg,1,9/5/2015,1,eShfPWENUmZ9sP7fstPt7Q,5,1,eG6HneK9zLcuZpVuKcsCGQ
gZGsReG0VeX4uKViHTB9EQ,0,8/16/2017,0,51RHs_V_fjuistnuKxNpEg,5,0,5ngpW5tf3ep680eG1HxHzA
#NAME?,0,6/28/2017,0,P7kiSTiwzqm0_LbA71EOPg,5,0,5ngpW5tf3ep680eG1HxHzA
u73j2VQ3TGWdMO-AG7MABw,0,7/6/2017,0,7EgEjUpcb8q-B5dPCMvkaQ,2,1,5ngpW5tf3ep680eG1HxHzA
VyVIneSU7XAWgMBllI6LnQ,0,7/8/2017,0,F1UHGw4-6OYyvFFb-E4LMg,5,0,5ngpW5tf3ep680eG1HxHzA
3Mx4renubPRnjHUw1n2UkA,0,9/30/2015,1,MTrzrLQT_LK2VLK9xantHw,1,4,eAavwM32i2h7sNNer--kGw
d4z4gjdhQYs-WOVClISf_A,0,6/14/2017,0,VGU_oergctnFczEXDPHYQA,5,0,nqzeKqdWBruvdgMd6aBHrg
f-v1fvtnbdw_QQRsCnwH-g,0,11/18/2017,0,alI_kRKyEHfdHibYGgtJbw,1,0,Fc_nb6N6Sdurqb-rwsY1Bw
yz66FIUPDKGhILDWzRLeKg,0,11/18/2017,0,85DRIjwPJOTb4q0qOlBstw,1,1,Fc_nb6N6Sdurqb-rwsY1Bw
6qDRqHWqf0EeHupSUEBfKg,0,12/10/2015,0,GbiLIKmQPVCBtdNkTVdVSA,5,0,G22ITfVETYHtIhnn5lLRrQ
7AlULGZI1pHt0imODsqdkg,0,2/12/2012,0,UaHgsL0xS4UnJ_iKqeOk_w,5,0,FjH3TH8OvHGLNEbzdEYlNg
th4pZ5LkoIIkb1Vmu_m2DA,0,2/12/2012,0,c4zzAD1S6721Fh-acCBy-g,4,0,FjH3TH8OvHGLNEbzdEYlNg
nsSfCKW9KDB4COj9bzXApw,0,2/12/2012,0,TTBwocu2mvqJFJrwmJN0Sw,5,1,FjH3TH8OvHGLNEbzdEYlNg
cP8ErpZfRzdVR5Fvks-pnQ,0,2/12/2012,0,#NAME?,5,0,FjH3TH8OvHGLNEbzdEYlNg
Edr6SafmQrZa6CcFuItoqg,0,6/3/2014,0,U04YgYr4PiGUxB46J4xapg,2,0,B7Fh30KQT1xPSGt_pIhRRA
piHAFVLQHEFv67HVyndrkA,0,11/21/2012,0,-4fp5CEEcTCB_ZsA9VZs2Q,5,0,6kEzTjPyrhAS_GLTbjnRyw
LFxa9cAfKY_OlALN8sArgQ,2,11/18/2016,0,HkSebQqJmaCpodIdb_S6lQ,3,1,zx_Op2OAOM_fRic9tU-jqA
SpJYus_184M2TdT7t52rIA,0,11/18/2016,0,s9cpVj40VR_yl0lXbZQe6w,5,0,zx_Op2OAOM_fRic9tU-jqA
7vxm0G4g857HzRqqpeu6bw,0,11/18/2016,0,O-I4Y329P9FND7skkMCdDg,5,1,zx_Op2OAOM_fRic9tU-jqA
RyTEGJz5tG7zC73BdXt-cQ,0,11/18/2016,0,6lRnO0n3QdkSGlJLUQb15w,5,0,zx_Op2OAOM_fRic9tU-jqA
7xA6iSP0Ndn08tpBFQtUKA,0,5/22/2017,0,YDJDfKnx6VpMMo4EBxycGg,1,0,FCtoTo9zSH1cSAkascfEHw
Xg5qEQiB-7L6kGJ5F4K3bQ,0,12/8/2015,0,QBZz9m3pL6r8Mvbdm2ZBYQ,5,0,Me267nGzYOJAGNSbNR_e6A
qdC2h3MqCNussc5lhzL7gg,0,11/5/2015,0,AJ0IglpYAp2D0daOlVGIdg,1,18,Ka7TIp74VHSa90rfdg4_2g
XgRDG9E_WLEbl8S-QUqQkQ,0,11/5/2015,0,5D_MsAJHrMa8QKkpE3g1Sg,5,0,Ka7TIp74VHSa90rfdg4_2g
awgoBwuhzlLGKEIverTGjQ,0,1/21/2017,0,5bWN_IN8MQGjJ6_ZIXffDw,5,0,yyPHK6khPa4-ErV9U32x3A
vsFFbN71ehRCp46KeR5RdQ,0,11/6/2016,0,OyFVGLDZ52Hl8BviXszNrw,5,0,0pf5VuzE4_1pwj5NJHG5TQ
yGZtG3KpoXyvF6gUC0FExQ,0,3/16/2016,0,U0o92C-o3neVTcE7nSeoeA,2,1,0pf5VuzE4_1pwj5NJHG5TQ
Jj8ubiwwuCR-rrhrrjcryw,0,8/14/2016,0,3zNW-BK3YlJnGBdCxpE46g,2,0,0pf5VuzE4_1pwj5NJHG5TQ
ERCZtj8qxNxfXJrdXPdEsw,0,4/29/2016,2,ml9QmqSdQllqSO78RteQfA,1,0,0pf5VuzE4_1pwj5NJHG5TQ
